DATA

VEHICLE
ID	LON	LAT	NUMBER	CAPACITY	COST
1	120.190740	30.273126	93	5.000000	5
2	120.190740	30.273126	91	5.000000	7
3	120.190740	30.273126	99	5.000000	9
4	120.190740	30.273126	93	10.000000	5
5	120.190740	30.273126	102	10.000000	7
6	120.190740	30.273126	103	10.000000	9
7	120.190740	30.273126	107	15.000000	5
8	120.190740	30.273126	101	15.000000	7
9	120.190740	30.273126	99	15.000000	9
10	120.134184	30.297193	91	5.000000	5
11	120.134184	30.297193	92	5.000000	7
12	120.134184	30.297193	103	5.000000	9
13	120.134184	30.297193	92	10.000000	5
14	120.134184	30.297193	94	10.000000	7
15	120.134184	30.297193	104	10.000000	9
16	120.134184	30.297193	90	15.000000	5
17	120.134184	30.297193	108	15.000000	7
18	120.134184	30.297193	95	15.000000	9
19	120.253304	30.201028	94	5.000000	5
20	120.253304	30.201028	90	5.000000	7
21	120.253304	30.201028	106	5.000000	9
22	120.253304	30.201028	102	10.000000	5
23	120.253304	30.201028	92	10.000000	7
24	120.253304	30.201028	107	10.000000	9
25	120.253304	30.201028	92	15.000000	5
26	120.253304	30.201028	105	15.000000	7
27	120.253304	30.201028	100	15.000000	9
28	120.196934	30.251321	107	5.000000	5
29	120.196934	30.251321	106	5.000000	7
30	120.196934	30.251321	95	5.000000	9
31	120.196934	30.251321	105	10.000000	5
32	120.196934	30.251321	106	10.000000	7
33	120.196934	30.251321	93	10.000000	9
34	120.196934	30.251321	105	15.000000	5
35	120.196934	30.251321	103	15.000000	7
36	120.196934	30.251321	99	15.000000	9


CUSTOMER
ID	LON	LAT	DRY_DEMAND	WET_DEMAND	START_TIME	END_TIME	SETVICE_TIME	CAR_NUM	STATION_TYPE

1	120.110841	30.274866	0.436732	0.296268	480	1020	20	0	0
2	120.145548	30.283746	0.481670	0.321396	0	1440	19	0	0
3	120.128956	30.283478	0.418914	0.288987	0	1440	15	0	0
4	120.091388	30.326284	0.442142	0.310537	0	1440	18	0	0
5	120.064704	30.142741	0.445046	0.306846	0	1440	17	0	0
6	120.115567	30.274330	0.436493	0.311570	0	1440	28	2	1
7	120.083756	30.120864	0.450306	0.292041	0	1440	21	0	0
8	120.066353	30.351249	0.484492	0.321665	480	1020	19	0	0
9	120.112133	30.275381	0.422020	0.295411	0	1440	24	0	0
10	120.075679	30.172176	0.424170	0.306852	0	1440	28	2	1
11	120.098579	30.276608	0.429778	0.329199	0	1440	16	0	0
12	120.141079	30.291124	0.421243	0.279734	480	1020	15	0	0
13	120.068487	30.337171	0.451068	0.303900	0	1440	19	1	1
14	120.088515	30.327140	0.427740	0.304833	0	1440	25	1	1
15	120.122767	30.277276	0.407490	0.294672	480	1020	23	0	0
16	120.083289	30.313638	0.463815	0.303631	0	1440	21	1	1
17	120.130951	30.277847	0.453916	0.313364	0	1440	24	0	0
18	120.098938	30.293729	0.484577	0.301675	0	1440	22	0	0
19	120.145135	30.285203	0.438217	0.310484	0	1440	19	0	0
20	120.137885	30.277671	0.460571	0.298400	480	1020	20	0	0
21	120.115335	30.282700	0.412406	0.304104	0	1440	21	0	0
22	120.071551	30.334029	0.425802	0.324681	480	1020	24	0	0
23	120.111478	30.281525	0.471495	0.311246	0	1440	29	0	0
24	120.095132	30.303119	0.417425	0.297055	0	1440	21	2	1
25	120.100738	30.278782	0.462893	0.303682	0	1440	20	0	0
26	120.103591	30.275689	0.443603	0.299953	0	1440	18	1	1
27	120.075980	30.334339	0.418570	0.295036	0	1440	29	0	0
28	120.097990	30.274877	0.429572	0.304692	480	1020	28	0	0
29	120.149807	30.276695	0.417102	0.291518	0	1440	19	0	0
30	120.103002	30.283017	0.440673	0.295110	0	1440	27	1	1
31	120.063487	30.288811	0.475888	0.304076	0	1440	27	0	0
32	120.075407	30.333618	0.463174	0.296264	0	1440	29	0	0
33	120.093482	30.311985	0.447669	0.310579	0	1440	27	1	1
34	120.068664	30.340179	0.499244	0.303167	0	1440	18	0	0
35	120.141672	30.287626	0.450536	0.288241	0	1440	23	2	1
36	120.147927	30.270089	0.442979	0.292462	0	1440	19	0	0
37	120.104500	30.300518	0.433974	0.314344	0	1440	21	0	0
38	120.092157	30.135855	0.454613	0.312471	0	1440	28	2	1
39	119.877661	30.375514	0.412624	0.300935	0	1440	22	1	1
40	120.125012	30.275568	0.452551	0.296737	0	1440	20	2	1
41	120.077274	30.337659	0.475075	0.315460	0	1440	27	0	0
42	120.063783	30.237411	0.425472	0.290978	0	1440	29	2	1
43	120.069107	30.331004	0.434776	0.296363	0	1440	18	0	0
